Terminal voltage [V],Current [A],X-averaged positive particle surface concentration [mol.m-3],X-averaged negative particle surface concentration [mol.m-3],Time [s],X-averaged negative electrode reaction overpotential [V],X-averaged positive electrode reaction overpotential [V],X-averaged electrolyte ohmic losses [V],X-averaged electrolyte overpotential [V],X-averaged negative electrode ohmic losses [V],X-averaged positive electrode ohmic losses [V],X-averaged negative electrolyte concentration [mol.m-3],X-averaged positive electrolyte concentration [mol.m-3],X-averaged battery open circuit voltage [V]
3.5926872785123276,0.0,25038.03753063947,5139.800360052108,409.9999999999999,0.0,0.0,0.0,-0.0005933381784392414,0.0,0.0,1009.576569488982,990.950548107731,3.593280616690767
3.5928283939668906,0.0,25035.6323038165,5141.8058896352,410.9999999999999,0.0,0.0,0.0,-0.0005084240175407054,0.0,0.0,1008.20581079756,992.2455790875322,3.593336817984431
3.592944993701832,0.0,25033.818156290028,5143.392598404176,411.9999999999999,0.0,0.0,0.0,-0.0004356635825916791,0.0,0.0,1007.0313291939439,993.3553044459534,3.5933806572844236
3.5930409300786903,0.0,25032.492448042285,5144.63285589847,412.99999999999983,0.0,0.0,0.0,-0.0003733073595646244,0.0,0.0,1006.0248364166745,994.3063667504783,3.593414237438255
3.5931192992450085,0.0,25031.57759609398,5145.58143664067,413.99999999999983,0.0,0.0,0.0,-0.000319857910873772,0.0,0.0,1005.16213458442,995.1215852244626,3.593439157155882
3.5931826644479474,0.0,25031.011628075834,5146.282107956113,414.99999999999983,0.0,0.0,0.0,-0.00027403620193412054,0.0,0.0,1004.4225652264726,995.8204613175864,3.5934567006498814
3.593233022281956,0.0,25030.749617695223,5146.766638166928,415.99999999999983,0.0,0.0,0.0,-0.00023478024197730318,0.0,0.0,1003.7889875005064,996.4191991411404,3.593467802523933
3.5932723324840645,0.0,25030.7439270354,5147.06864813392,416.99999999999983,0.0,0.0,0.0,-0.00020112784393071237,0.0,0.0,1003.2458590942852,996.9324673697868,3.593473460327995
3.5933020931915043,0.0,25030.96109416343,5147.21179547938,417.9999999999999,0.0,0.0,0.0,-0.00017228417066360302,0.0,0.0,1002.7803514662638,997.3723933952749,3.593474377362168
3.5933238319811127,0.0,25031.363990672642,5147.222292127716,418.9999999999999,0.0,0.0,0.0,-0.00014750494995863922,0.0,0.0,1002.3804407135183,997.750320937709,3.593471336931071
3.5933384061798783,0.0,25031.935470166194,5147.112279692248,419.9999999999999,0.0,0.0,0.0,-0.00012629608339723153,0.0,0.0,1002.0381588621888,998.0737951491435,3.5934647022632755
3.593347139556359,0.0,25032.642477880057,5146.905095068003,420.99999999999983,0.0,0.0,0.0,-0.00010803412904857035,0.0,0.0,1001.7434307066127,998.3523135463514,3.5934551736854075
3.593350707753313,0.0,25033.47133776301,5146.610433938173,421.99999999999983,0.0,0.0,0.0,-9.233522972574432e-05,0.0,0.0,1001.4900651848305,998.5917361967532,3.5934430429830386
3.5933492907365547,0.0,25034.423237673233,5146.227532484347,422.99999999999983,0.0,0.0,0.0,-7.899811061667233e-05,0.0,0.0,1001.2748314058522,998.7951515563099,3.5934282888471714
3.593343783672864,0.0,25035.47523925369,5145.77258141838,423.99999999999983,0.0,0.0,0.0,-6.761525993249917e-05,0.0,0.0,1001.0911428615314,998.9687660976732,3.5934113989327967
3.593334531141083,0.0,25036.62163436103,5145.249656909991,424.99999999999983,0.0,0.0,0.0,-5.7966526223203474e-05,0.0,0.0,1000.9354545009228,999.1159460640991,3.593392497667306
3.7850260508983027,-25.0,24464.382201121323,5562.4261870258415,425.99999999999983,-0.10225369747932349,0.04315217198033536,0.028998483233218124,0.031140715385310297,5.290339510973841e-05,9.17119497824994e-05,965.2673566062178,1032.35771326683,3.608335445227056
